study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,1,5,control,congruent,control-deplete,0.162,0.2849,0.5506
1,1,5,control,incongruent,control-deplete,0.1219,0.1949,0.6868
1,2,5,deplete,congruent,control-deplete,0.1416,0.1415,0.4405
1,2,5,deplete,incongruent,control-deplete,0.1279,0.076,0.7341
1,1,11,control,congruent,control-deplete,0.163,0.2236,0.4776
1,1,11,control,incongruent,control-deplete,0.1412,0.1789,0.736
1,2,11,deplete,congruent,control-deplete,0.152,0.2381,0.3945
1,2,11,deplete,incongruent,control-deplete,0.1343,0.1729,0.5594
1,1,13,control,congruent,control-deplete,0.1515,0.2674,0.4037
1,1,13,control,incongruent,control-deplete,0.167,0.2389,0.4548
1,2,13,deplete,congruent,control-deplete,0.1089,0.3051,0.4303
1,2,13,deplete,incongruent,control-deplete,0.1096,0.2429,0.4042
1,2,14,control,congruent,deplete-control,0.1374,0.2904,0.4511
1,2,14,control,incongruent,deplete-control,0.1279,0.2452,0.4772
1,1,14,deplete,congruent,deplete-control,0.1432,0.2823,0.4389
1,1,14,deplete,incongruent,deplete-control,0.1148,0.1601,0.5555
1,1,15,control,congruent,control-deplete,0.1755,0.2294,0.452
1,1,15,control,incongruent,control-deplete,0.1398,0.142,0.7392
1,2,15,deplete,congruent,control-deplete,0.1815,0.2227,0.388
1,2,15,deplete,incongruent,control-deplete,0.138,0.1395,0.6846
1,2,16,control,congruent,deplete-control,0.1498,0.3638,0.3892
1,2,16,control,incongruent,deplete-control,0.0955,0.1451,0.4834
1,1,16,deplete,congruent,deplete-control,0.1812,0.2989,0.3685
1,1,16,deplete,incongruent,deplete-control,0.1017,0.0708,0.6035
1,1,21,control,congruent,control-deplete,0.1413,0.3376,0.4249
1,1,21,control,incongruent,control-deplete,0.1074,0.1936,0.6037
1,2,21,deplete,congruent,control-deplete,0.1282,0.4239,0.402
1,2,21,deplete,incongruent,control-deplete,0.0891,0.1956,0.4911
1,1,23,control,congruent,control-deplete,0.1767,0.2665,0.4767
1,1,23,control,incongruent,control-deplete,0.1181,0.1612,0.5681
1,2,23,deplete,congruent,control-deplete,0.1639,0.2911,0.4704
1,2,23,deplete,incongruent,control-deplete,0.119,0.1765,0.6546
1,1,27,control,congruent,control-deplete,0.1435,0.3742,0.4081
1,1,27,control,incongruent,control-deplete,0.1164,0.2529,0.5193
1,2,27,deplete,congruent,control-deplete,0.1716,0.2754,0.3724
1,2,27,deplete,incongruent,control-deplete,0.1132,0.1268,0.5347
1,2,28,control,congruent,deplete-control,0.191,0.2859,0.3731
1,2,28,control,incongruent,deplete-control,0.1422,0.2046,0.6161
1,1,28,deplete,congruent,deplete-control,0.207,0.2641,0.4069
1,1,28,deplete,incongruent,deplete-control,0.1468,0.1773,0.618
1,2,30,control,congruent,deplete-control,0.1156,0.3491,0.4147
1,2,30,control,incongruent,deplete-control,0.0979,0.2787,0.4355
1,1,30,deplete,congruent,deplete-control,0.1086,0.287,0.3872
1,1,30,deplete,incongruent,deplete-control,0.0987,0.2787,0.4227
1,2,32,control,congruent,deplete-control,0.0929,0.2117,0.4526
1,2,32,control,incongruent,deplete-control,0.1001,0.1582,0.5201
1,1,32,deplete,congruent,deplete-control,0.1477,0.276,0.3716
1,1,32,deplete,incongruent,deplete-control,0.1049,0.1261,0.6153
1,1,33,control,congruent,control-deplete,0.1229,0.2683,0.3731
1,1,33,control,incongruent,control-deplete,0.0929,0.1389,0.5058
1,2,33,deplete,congruent,control-deplete,0.0915,0.3179,0.4764
1,2,33,deplete,incongruent,control-deplete,0.0901,0.2557,0.4861
1,2,34,control,congruent,deplete-control,0.1117,0.3629,0.3361
1,2,34,control,incongruent,deplete-control,0.0973,0.1398,0.3843
1,1,34,deplete,congruent,deplete-control,0.1222,0.2559,0.3403
1,1,34,deplete,incongruent,deplete-control,0.1104,0.0628,0.3606
1,1,35,control,congruent,control-deplete,0.1184,0.2237,0.4946
1,1,35,control,incongruent,control-deplete,0.1043,0.1973,0.5889
